ID,Name,SocialNumber,DriversLicense,Address,Phone,Email,Password,NameOnCard,Number,CVV,ExpMonth,ExpYear,Employee,Pin,Deleted
0,Santa Clause,99,,,,,,,,,,,0,00001,0
1,Alfur Alfsson,1234567890,123456789,ALfholar 10,5812345,alfurinn@yahoo.com,asdfasdf,Alfur senior,1234567890123456,123,05,22,1,,0
2,Joi Spoi ,1234567890,123456789,Joavegur 10,5151515,joi@spoi.is,joierspoi,Jonina sponina,1231231231231238,987,11,23,1,,0
3,Mrs. Clause,0101010119,,,,,,,,,,,0,00002,0
4,b,b,,,,,,,,,,,0,q,0
5,Satan,1234567890,123456789,Hellv�ti,6661234,satan@live.is,66666666,0000000000000000,0000000000000000,000,01,19,1,,0
6,gu,1234567890,123456789,d,1234567,@,12345678,dd,1234567981231472,123,12,19,1,,0
7,b,,,,,,,,,,,,0,,0
8,adsg,0123456789,123456789,�lkj,123456789,adsgqq@,123456789,lkj,1234567812345678,123,12,21,1,,0
9,b,1234123412,123412341,1234,12341234,@,12341234,1234,1234123412341234,123,12,21,1,,0
10,1234,1234123412,123412341,1234,12341234,134@,12341234,1,1234123412341234,123,12,21,1,,1
11,adsf,1234123412,123412341,1324,12341234,asdf@,12341234,12344,1234123412341234,123,12,21,1,,0
